School,Nickname,City,State,Conference
Keene State College,Owls,Keene,NH,Little East Conference
Kenyon College,Owls,Gambier,OH,Presidents' Athletic Conference
Keuka College,Wolves,Keuka Park,NY,Empire 8
Keystone College,Giants,La Plume Township,PA,United East Conference
King's College,Monarchs,Wilkes-Barre,PA,MAC Freedom
Knox College,Prairie Fire,Galesburg,IL,Midwest Conference
La Roche University,Redhawks,Pittsburgh,PA,Allegheny Mountain Collegiate Conference
University of La Verne,Leopards,La Verne,CA,Southern California Intercollegiate Athletic Conference
LaGrange College,Panthers,LaGrange,GA,Southern Collegiate Athletic Conference
Lake Forest College,Foresters,Lake Forest,IL,Midwest Conference
Lakeland University,Muskies,Sheboygan,WI,Northern Athletics Collegiate Conference
Lancaster Bible College,Chargers,Lancaster,PA,United East Conference
Lasell University,Lasers,Newton,MA,Massachusetts State Collegiate Athletic Conference
Lawrence University,Vikings,Appleton,WI,Midwest Conference
Lebanon Valley College,Flying Dutchmen,Annville,PA,MAC Freedom
Lehman College,Lightning,The Bronx,NY,City University of New York Athletic Conference
Lesley University,Lynx,Boston,MA,North Atlantic Conference
LeTourneau University,Yellow Jackets,Longview,TX,Southern Collegiate Athletic Conference
Lewis & Clark College,Pioneers,Portland,OR,Northwest Conference
Linfield University,Wildcats,McMinnville,OR,Northwest Conference
Loras College,Duhawks,Dubuque,IA,American Rivers Conference
Luther College,Norse,Decorah,IA,American Rivers Conference
Lycoming College,Warriors,Williamsport,PA,Landmark Conference
University of Lynchburg,Hornets,Lynchburg,VA,Old Dominion Athletic Conference
Lyon College,Scots,Batesville,AR,St. Louis Intercollegiate Athletic Conference
Macalester College,Scots,St. Paul,MN,Minnesota Intercollegiate Athletic Conference
University of Maine at Farmington,Beavers,Farmington,ME,North Atlantic Conference
Maine Maritime Academy,Mariners,Castine,ME,North Atlantic Conference
University of Maine at Presque Isle,Owls,Presque Isle,ME,North Atlantic Conference
Manchester University,Spartans,North Manchester,IN,Heartland Collegiate Athletic Conference
Manhattanville University,Valiants,Purchase,NY,Skyline Conference
Maranatha Baptist University,Sabercats,Watertown,WI,Independent
Marian University,Sabres,Fond du Lac,WI,Northern Athletics Collegiate Conference
Marietta College,Pioneers,Marietta,OH,Presidents' Athletic Conference
Martin Luther College,Knights,New Ulm,MN,Upper Midwest Athletic Conference
Mary Baldwin University,Fighting Squirrels,Staunton,VA,USA South Athletic Conference
University of Mary Hardin–Baylor,Crusaders,Belton,TX,Southern Collegiate Athletic Conference
University of Mary Washington,Eagles,Fredericksburg,VA,Coast to Coast Athletic Conference
Marymount University,Saints,Arlington,VA,Atlantic East Conference
